[18/Aug/2020 19:35:17] INFO [django.utils.autoreload:597] Watching for file changes with StatReloader
[18/Aug/2020 19:35:17] DEBUG [django.utils.autoreload:288] Waiting for apps ready_event.
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:299] Apps ready_event triggered. Sending autoreload_started signal.
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:247] Watching dir /home/sonia/DjangoProjects/zoom_transport/locale with glob **/*.mo.
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:247] Watching dir /home/sonia/django3_env/lib/python3.5/site-packages/django/contrib/admin/locale with glob **/*.mo.
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:247] Watching dir /home/sonia/django3_env/lib/python3.5/site-packages/django/contrib/auth/locale with glob **/*.mo.
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:247] Watching dir /home/sonia/django3_env/lib/python3.5/site-packages/django/contrib/contenttypes/locale with glob **/*.mo.
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:247] Watching dir /home/sonia/django3_env/lib/python3.5/site-packages/django/contrib/sessions/locale with glob **/*.mo.
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:247] Watching dir /home/sonia/django3_env/lib/python3.5/site-packages/django/contrib/messages/locale with glob **/*.mo.
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:247] Watching dir /home/sonia/django3_env/lib/python3.5/site-packages/django/contrib/staticfiles/locale with glob **/*.mo.
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:247] Watching dir /home/sonia/django3_env/lib/python3.5/site-packages/django/contrib/sites/locale with glob **/*.mo.
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:247] Watching dir /home/sonia/django3_env/lib/python3.5/site-packages/django_countries/locale with glob **/*.mo.
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:247] Watching dir /home/sonia/django3_env/lib/python3.5/site-packages/bootstrap4/locale with glob **/*.mo.
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:247] Watching dir /home/sonia/django3_env/lib/python3.5/site-packages/widget_tweaks/locale with glob **/*.mo.
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:247] Watching dir /home/sonia/DjangoProjects/zoom_transport/geolocalisation/locale with glob **/*.mo.
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:247] Watching dir /home/sonia/DjangoProjects/zoom_transport/utilisateurs/locale with glob **/*.mo.
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:247] Watching dir /home/sonia/DjangoProjects/zoom_transport/agences/locale with glob **/*.mo.
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:247] Watching dir /home/sonia/DjangoProjects/zoom_transport/commandes/locale with glob **/*.mo.
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:247] Watching dir /home/sonia/django3_env/lib/python3.5/site-packages/wkhtmltopdf/locale with glob **/*.mo.
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:247] Watching dir /home/sonia/django3_env/lib/python3.5/site-packages/django_tables2/locale with glob **/*.mo.
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:247] Watching dir /home/sonia/django3_env/lib/python3.5/site-packages/django_filters/locale with glob **/*.mo.
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:247] Watching dir /home/sonia/django3_env/lib/python3.5/site-packages/django_extensions/locale with glob **/*.mo.
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:247] Watching dir /home/sonia/django3_env/lib/python3.5/site-packages/phonenumber_field/locale with glob **/*.mo.
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:247] Watching dir /home/sonia/DjangoProjects/zoom_transport/affection/locale with glob **/*.mo.
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:247] Watching dir /home/sonia/django3_env/lib/python3.5/site-packages/allauth/locale with glob **/*.mo.
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:247] Watching dir /home/sonia/django3_env/lib/python3.5/site-packages/allauth/account/locale with glob **/*.mo.
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:247] Watching dir /home/sonia/django3_env/lib/python3.5/site-packages/allauth/socialaccount/locale with glob **/*.mo.
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /usr/lib/python3.5/calendar.py first seen with mtime 1587136910.0
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/dateutil/tz/_common.py first seen with mtime 1597505111.9695244
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/DjangoProjects/zoom_transport/commandes/tables.py first seen with mtime 1597696821.5625472
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/DjangoProjects/zoom_transport/utilisateurs/tables.py first seen with mtime 1597692258.4813938
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/pkg_resources/_vendor/packaging/specifiers.py first seen with mtime 1591733375.6625662
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django/conf/__init__.py first seen with mtime 1591733635.712113
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /usr/lib/python3.5/lib-dynload/_hashlib.cpython-35m-x86_64-linux-gnu.so first seen with mtime 1587137145.0
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django/contrib/staticfiles/views.py first seen with mtime 1591733636.2601078
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django/db/models/signals.py first seen with mtime 1591733636.2961075
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/cffi/__init__.py first seen with mtime 1596306611.9828434
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/allauth/account/apps.py first seen with mtime 1597530916.7925708
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/sqlparse/utils.py first seen with mtime 1591733635.5401146
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django/core/handlers/wsgi.py first seen with mtime 1591733636.2681077
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /usr/lib/python3.5/operator.py first seen with mtime 1587136910.0
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /usr/lib/python3.5/ctypes/_endian.py first seen with mtime 1587136914.0
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django/forms/__init__.py first seen with mtime 1591733636.3001075
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /usr/lib/python3.5/fnmatch.py first seen with mtime 1587136910.0
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django/core/cache/backends/base.py first seen with mtime 1591733636.2641077
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django/shortcuts.py first seen with mtime 1591733635.712113
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django_tables2/__init__.py first seen with mtime 1596209092.9392898
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /usr/lib/python3.5/random.py first seen with mtime 1587136910.0
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django_filters/views.py first seen with mtime 1596215422.2878244
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/phonenumbers/data/alt_format_54.py first seen with mtime 1596923093.271051
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django/db/models/fields/mixins.py first seen with mtime 1591733636.2961075
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/allauth/socialaccount/adapter.py first seen with mtime 1597530916.820571
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/weasyprint/layout/float.py first seen with mtime 1596306613.1628115
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django/contrib/postgres/forms/hstore.py first seen with mtime 1591733636.1561089
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django/utils/inspect.py first seen with mtime 1591733636.3241072
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django/db/models/sql/__init__.py first seen with mtime 1591733636.3001075
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django/contrib/auth/validators.py first seen with mtime 1591733635.9561107
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django/contrib/auth/password_validation.py first seen with mtime 1591733635.9561107
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /usr/lib/python3.5/codecs.py first seen with mtime 1587136910.0
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django/db/migrations/__init__.py first seen with mtime 1591733636.2881076
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/PIL/__init__.py first seen with mtime 1591791908.378261
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/DjangoProjects/zoom_transport/commandes/__init__.py first seen with mtime 1591737636.3610618
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /usr/lib/python3.5/textwrap.py first seen with mtime 1587136910.0
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/DjangoProjects/zoom_transport/utilisateurs/models.py first seen with mtime 1596975199.9526234
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /usr/lib/python3.5/wsgiref/simple_server.py first seen with mtime 1587136913.0
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django/contrib/admin/options.py first seen with mtime 1591733635.792112
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/sqlparse/filters/reindent.py first seen with mtime 1591733635.5441146
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /usr/lib/python3.5/email/generator.py first seen with mtime 1587136913.0
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/cairocffi/_generated/ffi.py first seen with mtime 1596306612.1628385
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/tinycss2/tokenizer.py first seen with mtime 1596306611.586854
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django/template/backends/base.py first seen with mtime 1591733636.3161073
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django/utils/formats.py first seen with mtime 1591733636.3241072
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /usr/lib/python3.5/re.py first seen with mtime 1587136910.0
